中央,中央广播电视台,中央,,,
,,CCTV-1,CCTV-1综合频道（高标清同播）,综合频道（高标清同播）,
,,CCTV-2,CCTV-2财经频道（高标清同播）,财经频道（高标清同播）,
,,CCTV-3,CCTV-3综艺频道（高标清同播）,综艺频道（高标清同播）,
,,CCTV-4,CCTV-4中文国际频道（亚洲版）（高标清同播）,中文国际频道（亚洲版）（高标清同播）,
,,CCTV-5,CCTV-5体育频道（高标清同播）,体育频道（高标清同播）,
,,CCTV-6,CCTV-6电影频道（高标清同播）,电影频道（高标清同播）,
,,CCTV-7,CCTV-7国防军事频道（高标清同播）,国防军事频道（高标清同播）,
,,CCTV-8,CCTV-8电视剧频道（高标清同播）,电视剧频道（高标清同播）,
,,CCTV-9,CCTV-9纪录频道（国内版）（高标清同播）,纪录频道（国内版）（高标清同播）,
,,CCTV-10,CCTV-10科教频道（高标清同播）,科教频道（高标清同播）,
,,CCTV-11,CCTV-11戏曲频道（高标清同播）,戏曲频道（高标清同播）,
,,CCTV-12,CCTV-12社会与法频道（高标清同播）,社会与法频道（高标清同播）,
,,CCTV-13,CCTV-13新闻频道（高标清同播）,新闻频道（高标清同播）,
,,CCTV-14,CCTV-14少儿频道（高标清同播）,少儿频道（高标清同播）,
,,CCTV-15,CCTV-15音乐频道（高标清同播）,音乐频道（高标清同播）,
,,CCTV-17,CCTV-17农业农村频道（高标清同播）,农业农村频道（高标清同播）,
,,CCTV-5+,CCTV-5+体育赛事频道（高清）,体育赛事频道（高清）,
,,CCTV NEWS,CCTV NEWS英语新闻频道（高标清同播）,英语新闻频道（高标清同播）,
,,CCTV,CCTV4k超高清频道（4K超高清）,4k超高清频道（4K超高清）,
,,,中视购物频道,中视购物频道,
安徽,阜阳市广播电视台,阜阳,阜阳,,
,,阜阳,阜阳新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,阜阳,阜阳公共频道（高标清同播）,公共频道（高标清同播）,
安徽,安庆市广播电视台,安庆,安庆,,
,,安庆,安庆新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,安庆,安庆公共频道（高标清同播）,公共频道（高标清同播）,
安徽,马鞍山市广播电视台,马鞍山,马鞍山,,
,,马鞍山,马鞍山新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,马鞍山,马鞍山公共频道（高标清同播）,公共频道（高标清同播）,
安徽,黄山市广播电视台,黄山,黄山,,
,,黄山,黄山新闻综合频道,新闻综合频道,
,,黄山,黄山公共频道,公共频道,
安徽,淮北市广播电视台,淮北,淮北,,
,,淮北,淮北新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,淮北,淮北公共频道（高标清同播）,公共频道（高标清同播）,
安徽,六安市广播电视台,六安,六安,,
,,六安,六安综合频道（高标清同播）,综合频道（高标清同播）,
,,六安,六安公共频道（高标清同播）,公共频道（高标清同播）,
安徽,宿州市广播电视台,宿州,宿州,,
,,宿州,宿州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,宿州,宿州公共频道（高标清同播）,公共频道（高标清同播）,
,,宿州,宿州科技教育频道（高标清同播）,科技教育频道（高标清同播）,
安徽,蚌埠市广播电视台,蚌埠,蚌埠,,
,,蚌埠,蚌埠新闻频道,新闻频道,
,,蚌埠,蚌埠公共频道,公共频道,
