央视频道
,CCTV-1综合频道(高清)
,CCTV-2财经频道(高清)
,CCTV-3综艺频道(高清)
,CCTV-4中文国际频道（亚洲版）(高清)
,CCTV-5体育频道(高清)
,CCTV-6电影频道(高清)
,CCTV-7国防军事频道(高清)
,CCTV-8电视剧频道(高清)
,CCTV-9纪录频道（国内版）(高清)
,CCTV-10科教频道(高清)
,CCTV-11戏曲频道(高清)
,CCTV-12社会与法频道(高清)
,CCTV-13新闻频道(高清)
,CCTV-14少儿频道(高清)
,CCTV-15音乐频道(高清)
,CCTV-17农业农村频道(高清)
,CCTV-5+体育赛事频道（高清）
,CCTV NEWS英语新闻频道(高清)
,CCTV4k超高清频道（4K超高清）
,中视购物频道
安徽地方频道
,阜阳新闻综合频道(高清)
,阜阳公共频道(高清)
,安庆新闻综合频道(高清)
,安庆公共频道(高清)
,马鞍山新闻综合频道(高清)
,马鞍山公共频道(高清)
,黄山新闻综合频道
,黄山公共频道
,淮北新闻综合频道(高清)
,淮北公共频道(高清)
,六安综合频道(高清)
,六安公共频道(高清)
,宿州新闻综合频道(高清)
,宿州公共频道(高清)
,宿州科技教育频道(高清)
,蚌埠新闻频道
,蚌埠公共频道
,淮南新闻综合频道(高清)
,淮南公共频道(高清)
,池州新闻综合频道(高清)
,池州公共频道(高清)
,滁州新闻综合频道(高清)
,滁州公共频道(高清)
,滁州科教频道(高清)
,铜陵新闻综合频道(高清)
,铜陵公共频道(高清)
,铜陵教育科技频道(高清)
,宣城综合频道
,宣城公共频道
,安徽新闻综合频道(高清)
,安徽经济生活频道(高清)
,安徽影视频道(高清)
,安徽综艺体育频道(高清)
,安徽农业科教频道(高清)
,安徽公共频道(高清)
,安徽移动电视频道
,安徽国际频道
,合肥新闻频道(高清)
,合肥生活频道(高清)
,合肥教育法制频道(高清)
,合肥影院频道
,合肥财经频道(高清)
,合肥故事休闲频道(高清)
,合肥文体博览频道
,合肥公共频道
,芜湖新闻综合频道
,芜湖公共频道
,芜湖皖江购物频道
,亳州综合频道
,亳州农村频道
北京地方频道
,北京综合频道(高清)
,北京文艺频道(高清)
,北京科教频道(高清)
,北京影视频道(高清)
,北京财经频道(高清)
,北京生活频道(高清)
,北京青年频道(高清)
,北京新闻频道(高清)
,北京卡酷少儿频道(高清)
,北京冬奥纪实频道(高清)
,北京国际频道
福建地方频道
,福建综合频道(高清)
,福建东南频道(高清)
,福建乡村振兴·公共频道(高清)
,福建新闻频道(高清)
,福建电视剧频道(高清)
,福建旅游频道(高清)
,福建经济生活频道(高清)
,福建体育频道(高清)
