1,,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,
中央,中央广播电视台,1、综合频道（高标清同播）,,2、财经频道（高标清同播）,3、综艺频道（高标清同播）,4、中文国际频道（亚洲版）（高标清同播）,5、体育频道（高标清同播）,6、电影频道（高标清同播）,7、国防军事频道（高标清同播）,8、电视剧频道（高标清同播）,9、纪录频道（国内版）（高标清同播）,10、科教频道（高标清同播）,11、戏曲频道（高标清同播）,12、社会与法频道（高标清同播）,13、新闻频道（高标清同播）,14、少儿频道（高标清同播）,15、音乐频道（高标清同播）,16、农业农村频道（高标清同播）,17、体育赛事频道（高清）,18、英语新闻频道（高标清同播）,19、法语国际频道（高标清同播）,20、西班牙语国际频道（高标清同播）,21、阿拉伯语国际频道（高标清同播）,22、俄语国际频道（高标清同播）,23、4k超高清频道（4K超高清）,24、中视购物频道
安徽,阜阳市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,安庆市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,马鞍山市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,黄山市广播电视台,1、新闻综合频道,,2、公共频道,,,,,,,,,,,,,,,,,,,,,,
安徽,淮北市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,六安市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,宿州市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,3、科技教育频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,
安徽,蚌埠市广播电视台,1、新闻频道,,2、公共频道,,,,,,,,,,,,,,,,,,,,,,
安徽,淮南市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
安徽,池州市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
